0.693147
------------С++-------------
==False sharing==
    Result	      Time  	   Speedup
  0.693147	       116	         1
  0.693147	        70	   1.65714
  0.693147	        50	      2.32
  0.693147	        37	   3.13514
  0.693147	        46	   2.52174
  0.693147	        32	     3.625
  0.693147	        25	      4.64
  0.693147	        26	   4.46154
  0.693147	        24	   4.83333
  0.693147	        20	       5.8
  0.693147	        20	       5.8
  0.693147	        19	   6.10526
  0.693147	        31	   3.74194
  0.693147	        23	   5.04348
  0.693147	        22	   5.27273
  0.693147	        27	    4.2963
  0.693147	        27	    4.2963
  0.693147	        19	   6.10526
  0.693147	        19	   6.10526
  0.693147	        20	       5.8
  0.693147	        22	   5.27273
  0.693147	        22	   5.27273
  0.693147	        17	   6.82353
  0.693147	        21	   5.52381
  0.693147	        18	   6.44444
  0.693147	        16	      7.25
  0.693147	        18	   6.44444
  0.693147	        20	       5.8
  0.693147	        19	   6.10526
  0.693147	        18	   6.44444
  0.693147	        13	   8.92308
  0.693147	        17	   6.82353
  0.693147	        13	   8.92308
  0.693147	        16	      7.25
  0.693147	        15	   7.73333
  0.693147	        12	   9.66667
  0.693147	        13	   8.92308
  0.693147	        16	      7.25
  0.693147	        15	   7.73333
  0.693147	        14	   8.28571
  0.693147	        15	   7.73333
  0.693147	        16	      7.25
  0.693147	        13	   8.92308
  0.693147	        14	   8.28571
  0.693147	        15	   7.73333
  0.693147	        17	   6.82353
  0.693147	        14	   8.28571
  0.693147	        14	   8.28571
==Alignment==
    Result	      Time  	   Speedup
  0.693147	       117	         1
  0.693147	        59	   1.98305
  0.693147	        39	         3
  0.693147	        29	   4.03448
  0.693147	        24	     4.875
  0.693147	        20	      5.85
  0.693147	        17	   6.88235
  0.693147	        15	       7.8
  0.693147	        14	   8.35714
  0.693147	        13	         9
  0.693147	        12	      9.75
  0.693147	        11	   10.6364
  0.693147	        19	   6.15789
  0.693147	        18	       6.5
  0.693147	        17	   6.88235
  0.693147	        15	       7.8
  0.693147	        15	       7.8
  0.693147	        14	   8.35714
  0.693147	        13	         9
  0.693147	        13	         9
  0.693147	        12	      9.75
  0.693147	        12	      9.75
  0.693147	        11	   10.6364
  0.693147	        11	   10.6364
  0.693147	        11	   10.6364
  0.693147	        10	      11.7
  0.693147	        10	      11.7
  0.693147	        10	      11.7
  0.693147	         9	        13
  0.693147	         9	        13
  0.693147	         9	        13
  0.693147	         9	        13
  0.693147	         8	    14.625
  0.693147	         9	        13
  0.693147	         8	    14.625
  0.693147	         9	        13
  0.693147	        10	      11.7
  0.693147	        10	      11.7
  0.693147	        10	      11.7
  0.693147	        10	      11.7
  0.693147	         9	        13
  0.693147	         9	        13
  0.693147	         9	        13
  0.693147	        10	      11.7
  0.693147	        10	      11.7
  0.693147	        10	      11.7
  0.693147	         9	        13
  0.693147	        10	      11.7
==Atomic==
    Result	      Time  	   Speedup
  0.693147	       381	         1
  4.671101	       904	   0.42146
  1.176508	       860	  0.443023
  1.694331	       750	     0.508
  1.132280	       867	  0.439446
  2.439487	       740	  0.514865
  0.571435	       849	  0.448763
  1.068129	       701	  0.543509
  0.919705	       626	  0.608626
  1.936069	       541	  0.704251
  0.227119	       518	  0.735521
  1.075257	       525	  0.725714
  0.757155	       526	  0.724335
  0.513842	       492	   0.77439
  1.241878	       449	  0.848552
  0.784714	       517	  0.736944
  0.332767	       501	  0.760479
  0.057247	       471	  0.808917
  0.782304	       466	  0.817597
  1.769510	       449	  0.848552
  0.805178	       422	  0.902844
  0.664376	       440	  0.865909
  1.322895	       481	    0.7921
  1.306007	       413	  0.922518
  1.002535	       517	  0.736944
  1.392111	       487	  0.782341
  1.016372	       547	  0.696527
  1.790694	       524	  0.727099
  0.488600	       613	  0.621533
  0.942770	       606	  0.628713
  0.263640	       584	  0.652397
 -0.170815	       658	  0.579027
  1.067427	       574	  0.663763
  1.147508	       639	  0.596244
  0.870619	       596	  0.639262
  0.654388	       589	  0.646859
  0.969574	       591	   0.64467
  0.852221	       551	   0.69147
  0.621264	       582	  0.654639
  0.722869	       444	  0.858108
  1.035722	       552	  0.690217
  0.705605	       423	  0.900709
  1.046432	       569	  0.669596
  1.066122	       420	  0.907143
  0.874284	       470	  0.810638
  1.160899	       405	  0.940741
  0.513796	       440	  0.865909
  0.486150	       404	  0.943069
==Critical==
    Result	      Time  	   Speedup
  0.693147	        64	         1
  0.693147	        42	   1.52381
  0.693147	        36	   1.77778
  0.693147	        27	   2.37037
  0.693147	        19	   3.36842
  0.693147	        20	       3.2
  0.693147	        17	   3.76471
  0.693147	        15	   4.26667
  0.693147	        14	   4.57143
  0.693147	        12	   5.33333
  0.693147	        12	   5.33333
  0.693147	        11	   5.81818
  0.693147	        18	   3.55556
  0.693147	        17	   3.76471
  0.693147	        17	   3.76471
  0.693147	        15	   4.26667
  0.693147	        15	   4.26667
  0.693147	        14	   4.57143
  0.693147	        14	   4.57143
  0.693147	        13	   4.92308
  0.693147	        12	   5.33333
  0.693147	        12	   5.33333
  0.693147	        11	   5.81818
  0.693147	        11	   5.81818
  0.693147	        11	   5.81818
  0.693147	        10	       6.4
  0.693147	        10	       6.4
  0.693147	         9	   7.11111
  0.693147	         9	   7.11111
  0.693147	         9	   7.11111
  0.693147	         9	   7.11111
  0.693147	         9	   7.11111
  0.693147	         9	   7.11111
  0.693147	         8	         8
  0.693147	         9	   7.11111
  0.693147	        10	       6.4
  0.693147	        10	       6.4
  0.693147	        10	       6.4
  0.693147	        10	       6.4
  0.693147	        10	       6.4
  0.693147	        10	       6.4
  0.693147	         9	   7.11111
  0.693147	         9	   7.11111
  0.693147	         9	   7.11111
  0.693147	         9	   7.11111
  0.693147	         9	   7.11111
  0.693147	         9	   7.11111
